Application_ID,Applicant_Name,Business_Name,Application_Date,Business_Address,Premises_Type,Applicant_Type,Seating_Capacity,Area_Type,Previous_Licenses_Held,Compliance_History,Tax_Compliance_Status,Premises_Ownership,Business_Longevity,Licensed_Areas,Automated_Liquor_Dispensers,Lineups_on_Public_Property,Ancillary_Areas,Proximity_to_Residential_Area,Proximity_to_School,Fire_Safety_Certificate,Municipal_Approval,Is_Renewal,Risk_Score,Risk_Classification,Licensing_Decision,Application_Status
LSL-00007,Betty Calhoun,Smith Inc,2024-10-06 7:27:25,"11674 Rowland Viaduct Apt. 794, Mississauga, ON, M4K5R6",Hair Salon / Barber Shop,Estate/Trust,273,Both,Yes,None,Non-Compliant,Yes,1-5 years,VIP Rooms,Yes,Yes,No,Yes,No,Expired,Pending,Yes,6,Low,Approved,Approved
LSL-00014,Robert Sherman,"Reynolds, Bishop and Rivera",2023-04-24 20:55:02,"57203 Davis Fort, Windsor, ON, J5K 8K5",Bowling Alley,Partnership,105,Both,Yes,Multiple,Compliant,Yes,More than 5 years,Outdoor Seating,No,No,No,Yes,No,Expired,Approved,Yes,3,Low,Approved,Approved
LSL-00025,Robert Hudson,"Fuentes, Flores and Aguilar",2023-01-25 5:48:51,"011 Mayer Point, Windsor, ON, B7P 5T4",Retirement Residence,Municipality,74,Outdoor,No,None,Compliant,Yes,More than 5 years,Outdoor Seating,Yes,No,No,No,No,Expired,Pending,No,5,Low,Approved,Approved
LSL-00030,Carla Lee,"Chambers, Cochran and Johnson",2024-07-14 8:10:10,"8867 Hobbs Springs, Windsor, ON, G1N5K1",Banquet Hall,Municipality,242,Indoor,Yes,None,Compliant,Yes,Less than 1 year,VIP Rooms,Yes,No,No,Yes,No,Valid,Approved,Yes,5,Low,Approved,Approved
LSL-00032,Joan Rodriguez,Williams-Hernandez,2023-08-14 23:53:56,"5189 Andrew Centers Suite 961, Windsor, ON, B6L3S8",Restaurant,First Nations,245,Both,Yes,Minor,Compliant,Yes,1-5 years,None,No,No,No,Yes,Yes,Expired,Pending,Yes,3,Low,Approved,Approved
LSL-00033,Jonathan Robinson,Manning and Sons,2023-09-02 12:02:17,"86043 Rogers Island, Ottawa, ON, V1G 1N2",Grocery Store,First Nations,237,Both,Yes,Minor,Compliant,Yes,More than 5 years,Outdoor Seating,Yes,Yes,No,Yes,No,Valid,Pending,No,5,Low,Approved,Approved
LSL-00039,Justin Marquez,"Miller, Perez and Leonard",2023-12-02 14:34:59,"4315 Karen Estates, Hamilton, ON, V4N 6S4",Arcade-style Facility,Association,227,Outdoor,No,Severe,Non-Compliant,No,More than 5 years,None,No,No,No,No,No,Valid,Approved,Yes,5,Low,Approved,Approved
LSL-00040,Sharon Kelly,"Smith, Jackson and Guzman",2022-12-21 0:29:33,"37339 Nicholas Pass Apt. 304, Hamilton, ON, E7J 8B3",Train,Provincial Government,297,Both,Yes,Severe,Compliant,Yes,1-5 years,Outdoor Seating,Yes,Yes,No,No,No,Valid,Approved,Yes,5,Low,Approved,Approved
LSL-00041,Pamela Allison,Miller LLC,2024-08-22 8:51:42,"113 Gonzalez Fields Apt. 586, Brampton, ON, C3S8Y2",Convenient Store,Estate/Trust,209,Both,No,Minor,Compliant,Yes,More than 5 years,None,No,No,Yes,Yes,No,Valid,Pending,Yes,4,Low,Approved,Approved
LSL-00042,Michelle Brown,"Pearson, Finley and Turner",2022-11-18 19:08:44,"31633 Michael Junctions, Vaughan, ON, S7T 1P9",Bar / Sports Bar,Federal Government,54,Outdoor,Yes,Minor,Compliant,Yes,Less than 1 year,None,No,No,No,No,No,Valid,Pending,Yes,1,Low,Approved,Approved
LSL-00044,Mrs. Jamie Robinson,Evans Inc,2024-09-14 19:29:20,"2012 Salinas Knolls, Kitchener, ON, K4X 6M2",Museum,Association,209,Indoor,Yes,Minor,Compliant,Yes,More than 5 years,Outdoor Seating,Yes,No,Yes,No,Yes,Valid,Approved,Yes,3,Low,Approved,Approved
LSL-00046,Michael Davis,"Cameron, Gonzales and Blair",2023-10-29 8:00:34,"6113 Bell Lakes, London, ON, X2L6S3",Art Gallery,First Nations,134,Outdoor,Yes,Severe,Compliant,Yes,More than 5 years,VIP Rooms,No,No,No,Yes,Yes,Expired,Pending,Yes,6,Low,Approved,Approved
LSL-00048,Matthew Sanchez,Combs Group,2024-02-05 15:52:35,"72130 Austin Forks Suite 831, Kitchener, ON, L7M5P7",Specialty Merchandise Store,Municipality,99,Both,Yes,None,Compliant,Yes,1-5 years,Outdoor Seating,Yes,Yes,No,No,No,Expired,Approved,No,4,Low,Approved,Approved
