Application_ID,Applicant_Name,Business_Name,Application_Date,Business_Address,Latitude,Longitude
LSL-00007,Betty Calhoun,Smith Inc,2024-10-06 7:27:25,"21114 Yonge St, East Gwillimbury, Ontario, Canada, L9N 0J8",44.1429809,-79.502475
LSL-00014,Robert Sherman,"Reynolds, Bishop and Rivera",2023-04-24 20:55:02,"27 Mississaga St West, Orillia, Ontario, Canada, L3V 3A5",44.6077939,-79.420413
LSL-00025,Robert Hudson,"Fuentes, Flores and Aguilar",2023-01-25 5:48:51,"1151 Davenport Rd, Toronto, Ontario, Canada, M6H 2G4",43.6745203,-79.431649
LSL-00030,Carla Lee,"Chambers, Cochran and Johnson",2024-07-14 8:10:10,"127 Jefferson Ave, Toronto, Ontario, Canada, M6K 3E4",43.6395149,-79.42182
LSL-00032,Joan Rodriguez,Williams-Hernandez,2023-08-14 23:53:56,"215 King St East, Toronto, Ontario, Canada, M5A 1J9",43.650946,-79.369243
LSL-00033,Jonathan Robinson,Manning and Sons,2023-09-02 12:02:17,"55 Dundas St West, Toronto, Ontario, Canada, M5G 2C3",43.6557466,-79.38316
LSL-00039,Justin Marquez,"Miller, Perez and Leonard",2023-12-02 14:34:59,"1645 Dundas St East, Whitby, Ontario, Canada, L1N 2K9",43.8869018,-78.908286
LSL-00040,Sharon Kelly,"Smith, Jackson and Guzman",2022-12-21 0:29:33,"4040 Steeles Ave West, Woodbridge, Ontario, Canada, L4L 4Y5",43.7694755,-79.553905
LSL-00041,Pamela Allison,Miller LLC,2024-08-22 8:51:42,"123 John St North, Arnprior, Ontario, Canada, K7S 2N5",45.4337399,-76.353909
LSL-00042,Michelle Brown,"Pearson, Finley and Turner",2022-11-18 19:08:44,"4461 Ganaraska Rd, Campbellcroft, Ontario, Canada, L0A 1B0",44.0609739,-78.386859
LSL-00044,Mrs. Jamie Robinson,Evans Inc,2024-09-14 19:29:20,"17369 Cornwall Centre Rd, Cornwall, Ontario, Canada, K6J 1K6",45.0620746,-74.766143
LSL-00046,Michael Davis,"Cameron, Gonzales and Blair",2023-10-29 8:00:34,"1009 Massey Rd, Grafton, Ontario, Canada, K0K 2G0",44.0268387,-78.040365
LSL-00048,Matthew Sanchez,Combs Group,2024-02-05 15:52:35,"1235 Deerhurst Drive, Huntsville, Ontario, Canada, P1H 2E8",45.3475157,-79.131528
LSL-00013,Dustin Cordova,"Hayden, Collier and Wallace",2023-04-09 19:06:36,"16635 Yonge St, Newmarket, Ontario, Canada, L3Z 1V6",44.0335928,-79.473539
LSL-00022,Shannon Reid,"Petty, Ramirez and Buckley",2024-04-01 22:54:31,"779 St. Clair Ave West, Toronto, Ontario, Canada, M6C 1B7",43.6808474,-79.429138
LSL-00001,Susan Campos,Jones Group,2022-12-05 1:45:59,"2 Orchard Heights Blvd, Aurora, Ontario, Canada, L4G 3W3",44.0090862,-79.47017
LSL-00002,Christopher Rodriguez,"Parsons, Zhang and Lozano",2022-10-22 13:34:57,"15570 Yonge St, Aurora, Ontario, Canada, L4G 1P2",44.0074897,-79.469675
LSL-00003,Morgan Shelton,Martinez Inc,2024-04-11 18:57:32,"901-75 Cedar Pointe Drive, Barrie, Ontario, Canada, L4N 5R7",44.3817118,-79.712322
LSL-00004,Morgan Hebert,Morgan and Sons,2023-02-18 2:24:55,"33 Division St, Bowmanville, Ontario, Canada, L1C 2Z3",43.9124758,-78.687075
LSL-00005,Mary Ford,Beltran-Lambert,2023-02-07 15:44:43,"15 Fisherman Drive, Brampton, Ontario, Canada, L7A 1B7",43.7137424,-79.800678
LSL-00006,Katherine Lester,"Goodman, Carter and Castro",2023-07-25 21:33:57,"1137 Boston Mills Rd, Caledon, Ontario, Canada, L7C 0N1",43.7566777,-79.944911
LSL-00008,Michael Brady,"Franco, Maxwell and Brown",2023-10-25 21:08:46,"900 Albion Rd, Etobicoke, Ontario, Canada, M9V 1A5",43.7344007,-79.558812
LSL-00009,Amy Anderson,"Gould, Mueller and Castillo",2024-08-10 2:18:28,"1900 Dundas St West, Mississauga, Ontario, Canada, L5K 1P9",43.5399567,-79.662399
LSL-00010,Matthew Mitchell,"Valdez, Silva and Ramos",2024-01-02 20:05:01,"71 Lakeshore Rd East, Mississauga, Ontario, Canada, L5G 1C9",43.5525509,-79.584367
LSL-00011,Charles Cruz,"Baker, Farley and Smith",2024-05-06 20:11:06,"31 Lakeshore Rd East, Mississauga, Ontario, Canada, L5G 4V5",43.5515302,-79.585157
LSL-00012,Robert Ayers,Thomas-Oliver,2024-02-02 1:35:02,"16700 Bayview Ave, Newmarket, Ontario, Canada, L3X 1W1",44.0409556,-79.45218
LSL-00015,Brooke Smith,"Jackson, Chavez and Nash",2024-01-23 5:52:21,"140 Mississaga St East, Orillia, Ontario, Canada, L3V 1V7",44.6098275,-79.416329
