Application_ID,Applicant_Name,Business_Name,Application_Date,Business_Address,Premises_Type,Applicant_Type,Seating_Capacity,Area_Type,Previous_Licenses_Held,Compliance_History,Tax_Compliance_Status,Premises_Ownership,Business_Longevity,Licensed_Areas,Automated_Liquor_Dispensers,Lineups_on_Public_Property,Ancillary_Areas,Proximity_to_Residential_Area,Proximity_to_School,Fire_Safety_Certificate,Municipal_Approval,Application_Status,Risk_Score,Risk_Classification,Licensing_Decision
LSL-00001,Anthony Gallagher,"Summers, Burke and Jones",2024-04-16 04:45:48.977253,"119 Myers Cliffs
South Bailey, QC B1R 1P2",Bar,Sole Proprietor,109,Indoor,No,None,Compliant,Yes,1-5 years,None,No,No,No,No,No,Valid,Approved,Submitted,4,Low,Approved
LSL-00002,Kimberly Harris,Hall Group,2023-12-28 03:50:01.772401,"46082 Aaron Port Apt. 727
Mollyborough, QC E8T9Y4",Bar,Sole Proprietor,74,Outdoor,Yes,None,Compliant,Yes,More than 5 years,Outdoor Seating,No,No,No,No,No,Valid,Approved,Under Review,1,Low,Approved
LSL-00003,Ian Miller,Hernandez Inc,2024-09-08 06:44:13.888628,"74725 Hanson Canyon Apt. 719
Griffithstad, NB M2M6A5",Bar,Corporation,132,Indoor,No,Minor,Compliant,Yes,1-5 years,Outdoor Seating,No,No,No,No,No,Valid,Approved,Under Review,5,Low,Approved
LSL-00004,Jason Anderson,"Bishop, Johnson and Nguyen",2024-02-11 06:10:26.891724,"762 Adam Plaza Apt. 083
New Michael, ON X7Y 7J7",Restaurant,Corporation,112,Outdoor,Yes,Minor,Compliant,Yes,More than 5 years,None,No,No,No,No,No,Valid,Approved,Submitted,0,Low,Approved
LSL-00005,Sara Bradley,Baker Group,2024-01-16 03:28:08.046932,"713 Martinez Crescent
South Trevor, QC S2K 3K6",Bar,Sole Proprietor,125,Outdoor,Yes,None,Compliant,Yes,More than 5 years,Outdoor Seating,No,No,No,No,No,Valid,Approved,Submitted,1,Low,Approved
LSL-00006,Eric Wright,"Fowler, Reynolds and King",2024-09-14 19:12:03.439708,"7860 Romero Key
Christineberg, YT E4Y5X7",Bar,Corporation,115,Outdoor,No,None,Compliant,Yes,More than 5 years,Outdoor Seating,No,No,No,No,No,Valid,Approved,Under Review,4,Low,Approved
LSL-00007,April Hawkins,Hess LLC,2024-01-05 16:28:24.694848,"6030 Claudia Meadow Suite 226
South Tonyport, NT A1X9L7",Restaurant,Sole Proprietor,56,Outdoor,Yes,None,Compliant,Yes,More than 5 years,Outdoor Seating,No,No,No,No,No,Valid,Approved,Submitted,1,Low,Approved
LSL-00008,William Oliver,"Nelson, Mitchell and Oconnell",2024-02-04 18:49:19.813891,"58094 Justin Mountain
South Matthew, NU G1K 8V5",Cafe,Corporation,70,Outdoor,No,None,Compliant,Yes,1-5 years,Outdoor Seating,No,No,No,No,No,Valid,Approved,Submitted,5,Low,Approved
LSL-00009,Kristen Hicks MD,"Singh, West and Mason",2024-08-07 19:46:59.152788,"7134 Carey Branch Apt. 161
New Jeremyfurt, MB M1B2E3",Cafe,Corporation,55,Indoor,Yes,None,Compliant,Yes,1-5 years,None,No,No,No,No,No,Valid,Approved,Under Review,1,Low,Approved
LSL-00010,Anthony Gray,"Madden, Vega and Ryan",2024-06-23 15:20:18.450651,"748 Jacobson Highway Apt. 055
West Kerrifort, NU G2E 8E4",Cafe,Sole Proprietor,94,Outdoor,No,Minor,Compliant,Yes,1-5 years,Outdoor Seating,No,No,No,No,No,Valid,Approved,Submitted,5,Low,Approved
